,FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,NUMERO ACCIONES,VALOR EFECTIVO,PROCEDENCIA
942,2025-02-21,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,24100,44585,Q
943,2025-02-21,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,64000,118400,Q
944,2025-02-21,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,1200,2232,Q
945,2025-02-21,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,13725,25528.5,Q
946,2025-02-21,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,5405,10053.3,Q
948,2025-02-21,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,10000,18500,Q
949,2025-02-24,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,4352,5004.8,G
950,2025-02-24,CERVECERIA NACIONAL CN S A,ACCIONES,1,50,10,500,G
951,2025-02-24,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.00570969,1500000,1508564.54,Q
952,2025-02-24,BOLSA DE VALORES DE QUITO,ACCIONES,1,3.1,1006,3118.6,Q
953,2025-02-25,TECATEAK SA,ACCIONES,1,3.97,1108,4398.76,G
954,2025-02-25,NATLUK SA,ACCIONES,1,7.7,3,23.1,G
955,2025-02-25,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,1113,1279.95,G
956,2025-02-25,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.0059383,9941,10000.03,Q
957,2025-02-25,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.95,1152,1094.4,Q
958,2025-02-25,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,831,955.65,Q
959,2025-02-25,CERVECERIA NACIONAL CN S A,ACCIONES,1,53,15,795,Q
960,2025-02-25,CERVECERIA NACIONAL CN S A,ACCIONES,1,53,124,6572,Q
961,2025-02-26,SAN CARLOS SOC. AGR. IND.,ACCIONES,1,0.6,14127,8476.2,G
962,2025-02-26,NATLUK SA,ACCIONES,1,7.7,2,15.4,G
963,2025-02-26,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,378,695.52,G
964,2025-02-26,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,815,1499.6,G
965,2025-02-26,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1.01,1500,1515,G
966,2025-02-26,INVERSANCARLOS,ACCIONES,1,2.7,14000,37800,G
967,2025-02-26,INVERSANCARLOS,ACCIONES,1,2.7,16000,43200,G
968,2025-02-26,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.14,245,279.3,G
969,2025-02-26,INVERSANCARLOS,ACCIONES,1,2.7,122,329.4,G
970,2025-02-26,INVERSANCARLOS,ACCIONES,1,2.7,555,1498.5,G
971,2025-02-26,INVERSANCARLOS,ACCIONES,1,2.7,176,475.2,G
972,2025-02-26,INVERSANCARLOS,ACCIONES,1,2.7,672,1814.4,G
973,2025-02-26,INVERSANCARLOS,ACCIONES,1,2.7,138,372.6,G
974,2025-02-26,INVERSANCARLOS,ACCIONES,1,2.7,1390,3753,G
975,2025-02-26,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.00616692,10000,10061.67,Q
976,2025-02-26,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.13,15000,16950,Q
977,2025-02-26,SAN CARLOS SOC. AGR. IND.,ACCIONES,1,0.6,10000,6000,Q
978,2025-02-26,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,41,75.85,Q
979,2025-02-26,BEVERAGE BRAND PATENTS SA,ACCIONES,1,36,87,3132,Q
980,2025-02-26,BOLSA DE VALORES DE QUITO,ACCIONES,1,3,100,300,Q
981,2025-02-26,INVERSANCARLOS,ACCIONES,1,2.7,947,2556.9,Q
982,2025-02-26,INVERSANCARLOS,ACCIONES,1,2.7,30000,81000,Q
983,2025-02-26,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,248,458.8,Q
984,2025-02-26,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,76,140.6,Q
985,2025-02-26,BOLSA DE VALORES DE QUITO,ACCIONES,1,3.1,484,1500.4,Q
986,2025-02-27,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.14,24693,28150.02,G
987,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,108,199.8,G
988,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,4000,7400,G
989,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,427,789.95,G
990,2025-02-27,HOLCIM ECUADOR S.A.,ACCIONES,3,50,60,3000,G
991,2025-02-27,HOLCIM ECUADOR S.A.,ACCIONES,3,50,70,3500,G
992,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,12000,22200,G
993,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,2181,4056.66,G
994,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,1259,2341.74,G
995,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,376,699.36,G
996,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,40000,74400,G
997,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,9000,16560,G
998,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,8896,16546.56,G
999,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,104,191.36,G
1000,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,2000,3720,G
1001,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,488,907.68,G
1002,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,104,193.44,G
1003,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,116,215.76,G
1004,2025-02-27,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.00639103,1000,1006.39,Q
1005,2025-02-27,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.00639103,2485,2500.88,Q
1006,2025-02-27,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
1029,2025-02-27,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,Q
1038,2025-02-27,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,3,300,Q
1041,2025-02-27,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,4,400,Q
1043,2025-02-27,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,5,500,Q
1044,2025-02-27,SAN CARLOS SOC. AGR. IND.,ACCIONES,1,0.62,20000,12400,Q
1045,2025-02-27,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,9110,10021,Q
1046,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,3936,7242.24,Q
1047,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,3900,7176,Q
1048,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,2000,3700,Q
1049,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,5000,9250,Q
1050,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,6000,11100,Q
1051,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,20767,38418.95,Q
1052,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,1148,2123.8,Q
1053,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,4243,7849.55,Q
1054,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,3000,5550,Q
1055,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,153,283.05,Q
1056,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,1575,2929.5,Q
1057,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,8186,15225.96,Q
1058,2025-02-27,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,4063,7557.18,Q
1059,2025-02-28,NATLUK SA,ACCIONES,1,7.7,4,30.8,G
1060,2025-02-28,BOLSA DE VALORES DE QUITO,ACCIONES,1,3.1,3000,9300,G
1061,2025-02-28,INVERSANCARLOS,ACCIONES,1,2.7,16000,43200,G
1062,2025-02-28,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.14,1028,1171.92,G
1063,2025-02-28,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.00661518,2000000,2013230.37,Q
1064,2025-02-28,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,3225,5934,Q
1065,2025-02-28,HOLCIM ECUADOR S.A.,ACCIONES,3,50,20,1000,Q
1066,2025-02-28,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,364,669.76,Q
1067,2025-02-28,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,448,824.32,Q
1068,2025-02-28,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1,25000,25000,Q
1069,2025-02-28,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,587,1085.95,Q
1070,2025-02-28,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,1200,2220,Q
1071,2025-02-28,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,576,1065.6,Q
1072,2025-03-05,CERVECERIA NACIONAL CN S A,ACCIONES,1,53,63,3339,G
1073,2025-03-05,NATLUK SA,ACCIONES,1,7.7,4,30.8,G
1074,2025-03-05,CORPORACION FAVORITA C.A.,ACCIONES,1,1.8,37864,68155.2,G
1075,2025-03-05,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.00774836,10000,10077.48,Q
1076,2025-03-06,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.97,2099,2036.03,G
1077,2025-03-06,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.97,2901,2813.97,G
1078,2025-03-06,NATLUK SA,ACCIONES,1,7.7,3,23.1,G
1079,2025-03-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,128,238.08,G
1080,2025-03-06,SAN CARLOS SOC. AGR. IND.,ACCIONES,1,0.65,4000,2600,G
1081,2025-03-06,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.00797567,10000,10079.76,Q
1082,2025-03-06,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.00797567,3000,3023.93,Q
1083,2025-03-06,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.00797567,20000,20159.51,Q
1084,2025-03-06,BANCO BOLIVARIANO C.A.,ACCIONES,1,1,5000,5000,Q
1085,2025-03-06,CERVECERIA NACIONAL CN S A,ACCIONES,1,52,15,780,Q
1086,2025-03-06,CERVECERIA NACIONAL CN S A,ACCIONES,1,53,60,3180,Q
1087,2025-03-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,805,1481.2,Q
1088,2025-03-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,1195,2198.8,Q
1089,2025-03-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,315,582.75,Q
1090,2025-03-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,2462,4554.7,Q
1091,2025-03-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,7274,13456.9,Q
1092,2025-03-06,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,3000,5550,Q
1094,2025-03-06,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.12,12369,13853.28,Q
1095,2025-03-06,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,391,449.65,Q
1096,2025-03-07,NATLUK SA,ACCIONES,1,7.7,4,30.8,G
1097,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,100,185,G
1098,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,372,688.2,G
1099,2025-03-07,VERDETEKA,ACCIONES,1,3.38,38000,128440,G
1100,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,390,721.5,G
1101,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,3037,5648.82,G
1102,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,5374,9995.64,G
1103,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,4452,8280.72,G
1104,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.87,40000,74800,G
1105,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.88,116076,218222.88,G
1106,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,290,536.5,Q
1107,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,599,1108.15,Q
1108,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,340,629,Q
1109,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,3000,5550,Q
1110,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,1065,1970.25,Q
1111,2025-03-07,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1,25000,25000,Q
1112,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,487,896.08,Q
1113,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,25405,46745.2,Q
1114,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,4447,8182.48,Q
1115,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,23486,43214.24,Q
1116,2025-03-07,BOLSA DE VALORES DE QUITO,ACCIONES,1,3.1,1980,6138,Q
1117,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,465,855.6,Q
1118,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,2250,4140,Q
1119,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,4500,8325,Q
1120,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,25000,46250,Q
1122,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,42387,78839.82,Q
1123,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,7999,14878.14,Q
1124,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,243445,452807.7,Q
1125,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,85000,158100,Q
1126,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,115000,213900,Q
1127,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,200000,372000,Q
1129,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,2000,3720,Q
1130,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.87,3396,6350.52,Q
1131,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.87,2000,3740,Q
1132,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.88,14500,27260,Q
1133,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.89,985,1861.65,Q
1134,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.89,400,756,Q
1135,2025-03-07,CORPORACION FAVORITA C.A.,ACCIONES,1,1.9,5000,9500,Q
1136,2025-03-10,CORPORACION FAVORITA C.A.,ACCIONES,1,1.88,407,765.16,G
1137,2025-03-10,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.98,1000,980,G
1138,2025-03-10,BANCO BOLIVARIANO C.A.,ACCIONES,1,1.05,20000,21000,G
1139,2025-03-10,NATLUK SA,ACCIONES,1,7.7,4,30.8,G
1140,2025-03-10,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.14,5895,6720.3,G
1141,2025-03-10,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.0088854,40000,40355.42,Q
1142,2025-03-10,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,1648,1895.2,Q
1143,2025-03-10,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,44,50.6,Q
1144,2025-03-10,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,430,494.5,Q
1145,2025-03-10,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,550,632.5,Q
1146,2025-03-10,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.94,2400,2256,Q
1147,2025-03-10,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,1322,2445.7,Q
1148,2025-03-10,CERVECERIA NACIONAL CN S A,ACCIONES,1,54,147,7938,Q
1149,2025-03-11,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1.1,10000,11000,G
1150,2025-03-11,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.13,18380,20769.4,G
1151,2025-03-11,SAN CARLOS SOC. AGR. IND.,ACCIONES,1,0.65,189,122.85,G
1152,2025-03-11,BEVERAGE BRAND PATENTS SA,ACCIONES,1,38.05,20,761,G
1153,2025-03-11,NATLUK SA,ACCIONES,1,7.7,2,15.4,G
1154,2025-03-11,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,822,945.3,Q
1155,2025-03-11,CORPORACION FAVORITA C.A.,ACCIONES,1,1.8,10000,18000,Q
1156,2025-03-11,BANCO BOLIVARIANO C.A.,ACCIONES,1,1.1,859,944.9,Q
1157,2025-03-11,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.14,12000,13680,Q
1158,2025-03-11,BANCO BOLIVARIANO C.A.,ACCIONES,1,1.01,5000,5050,Q
1159,2025-03-12,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,5279,5806.9,G
1160,2025-03-12,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1.1,10000,11000,G
1161,2025-03-12,BOLSA DE VALORES DE QUITO,ACCIONES,1,3.1,2260,7006,G
1162,2025-03-12,BOLSA DE VALORES DE QUITO,ACCIONES,1,3.1,4099,12706.9,G
1163,2025-03-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,110,202.4,G
1165,2025-03-12,MULTI-BG S.A. CORPORACION,ACCIONES,1,8.62,2070,17843.4,G
1166,2025-03-12,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,500,575,G
1167,2025-03-12,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.14,304,346.56,G
1168,2025-03-12,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.14,860,980.4,G
1169,2025-03-12,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,17985,19783.5,G
1170,2025-03-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,2447,4502.48,G
1171,2025-03-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,1559,2884.15,G
1172,2025-03-12,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.00934058,98252,99169.73,Q
1173,2025-03-12,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,1,100,Q
1188,2025-03-12,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,2,200,Q
1190,2025-03-12,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,3,300,Q
1193,2025-03-12,MUTUALISTA PICHINCHA,CERTIFICADOS DE APORTACION,100,100,4,400,Q
1194,2025-03-12,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1.1,12000,13200,Q
1195,2025-03-12,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,24762,27238.2,Q
1196,2025-03-12,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,518,595.7,Q
1197,2025-03-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.83,88,161.04,Q
1198,2025-03-12,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,482,554.3,Q
1199,2025-03-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.83,145,265.35,Q
1200,2025-03-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,5405,9999.25,Q
1201,2025-03-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,1405,2599.25,Q
1202,2025-03-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,500,925,Q
1203,2025-03-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,1700,3145,Q
1204,2025-03-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,40000,74400,Q
1205,2025-03-12,CORPORACION FAVORITA C.A.,ACCIONES,1,1.86,2178,4051.08,Q
1206,2025-03-13,BOLSA DE VALORES DE QUITO,ACCIONES,1,3.1,12000,37200,G
1207,2025-03-13,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,285,527.25,G
1209,2025-03-13,NATLUK SA,ACCIONES,1,7.7,3,23.1,G
1210,2025-03-13,CERVECERIA NACIONAL CN S A,ACCIONES,1,58.2,30,1746,G
1211,2025-03-13,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.93,10000,9300,Q
1213,2025-03-13,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.93,8612,8009.16,Q
1214,2025-03-13,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,1,287,287,Q
1215,2025-03-13,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.93,19095,17758.35,Q
1216,2025-03-13,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.93,11000,10230,Q
1217,2025-03-14,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,373,686.32,G
1219,2025-03-14,NATLUK SA,ACCIONES,1,7.7,2,15.4,G
1220,2025-03-14,BOLSA DE VALORES DE QUITO,ACCIONES,1,3.1,1000,3100,G
1221,2025-03-14,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,409,752.56,G
1222,2025-03-14,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,1753,3225.52,G
1223,2025-03-14,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,563,1041.55,G
1224,2025-03-14,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.00979595,33473,33800.9,Q
1225,2025-03-14,BOLSA DE VALORES DE QUITO,ACCIONES,1,3.1,5000,15500,Q
1226,2025-03-14,CORPORACION FAVORITA C.A.,ACCIONES,1,1.83,408,746.64,Q
1227,2025-03-14,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,5500,10120,Q
1228,2025-03-14,BANCO BOLIVARIANO C.A.,ACCIONES,1,1,1000,1000,Q
1229,2025-03-14,SAN CARLOS SOC. AGR. IND.,ACCIONES,1,0.6,2520,1512,Q
1230,2025-03-14,CERVECERIA NACIONAL CN S A,ACCIONES,1,54,250,13500,Q
1231,2025-03-14,CONTINENTAL TIRE ANDINA S A,ACCIONES,1,0.6,400,240,Q
1232,2025-03-14,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,85,156.4,Q
1233,2025-03-14,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,476,880.6,Q
1234,2025-03-14,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,1052,1946.2,Q
1235,2025-03-17,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1.12,5000,5600,G
1236,2025-03-17,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.1,17985,19783.5,G
1237,2025-03-17,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1.14,10000,11400,G
1239,2025-03-17,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.95,714,678.3,G
1241,2025-03-17,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.01047935,496,501.2,Q
1242,2025-03-17,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.01047935,4000,4041.92,Q
1243,2025-03-17,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,2687,4944.08,Q
1244,2025-03-17,CERVECERIA NACIONAL CN S A,ACCIONES,1,54,200,10800,Q
1245,2025-03-17,BOLSA DE VALORES DE QUITO,ACCIONES,1,3.1,12000,37200,Q
1246,2025-03-17,BOLSA DE VALORES DE QUITO,ACCIONES,1,3.1,1720,5332,Q
1247,2025-03-17,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.15,509,585.35,Q
1248,2025-03-17,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.95,1000,950,Q
1249,2025-03-17,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.95,1543,1465.85,Q
1250,2025-03-17,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,21,38.64,Q
1251,2025-03-18,SAN CARLOS SOC. AGR. IND.,ACCIONES,1,0.65,66000,42900,G
1252,2025-03-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,800,1472,G
1253,2025-03-18,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1.15,14000,16100,G
1254,2025-03-18,NATLUK SA,ACCIONES,1,7.7,2,15.4,G
1255,2025-03-18,BEVERAGE BRAND PATENTS SA,ACCIONES,1,50,20,1000,G
1256,2025-03-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,215,397.75,Q
1258,2025-03-18,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES,1,1.4,928,1299.2,Q
1259,2025-03-18,CERVECERIA NACIONAL CN S A,ACCIONES,1,52,30,1560,Q
1260,2025-03-18,BEVERAGE BRAND PATENTS SA,ACCIONES,1,52,227,11804,Q
1261,2025-03-18,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.01070727,3000,3032.12,Q
1262,2025-03-18,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.01070727,9894,9999.94,Q
1263,2025-03-18,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,5369,9878.96,Q
1264,2025-03-18,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.95,1016,965.2,Q
1265,2025-03-19,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES,1,1.4,719,1006.6,Q
1267,2025-03-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.84,540,993.6,Q
1268,2025-03-19,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,1,0.93,16000,14880,Q
1269,2025-03-19,BANCO GUAYAQUIL S.A.,ACCIONES,1,1.14,176,200.64,Q
1270,2025-03-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.82,2,3.64,Q
1271,2025-03-19,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1.13,11993,13552.09,Q
1272,2025-03-19,CORPORACION FAVORITA C.A.,ACCIONES,1,1.85,75,138.75,Q
1273,2025-03-19,BEVERAGE BRAND PATENTS SA,ACCIONES,1,50,26,1300,Q
1274,2025-03-19,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,1,1.15,7500,8625,G
1276,2025-03-19,FONDO DE INVERSION COTIZADO ETF,CUOTAS DE PARTICIPACION,1,1.01093524,1980,2001.65,Q
1277,2025-03-20,NATLUK SA,ACCIONES,1,7.7,3,23.1,G
1278,2025-03-20,EDUCACION Y FUTURO TEKAFUTURO SA,ACCIONES,1,2.35,99568,233984.8,G
1279,2025-03-20,CORPORACION FAVORITA C.A.,ACCIONES,1,1.83,372,680.76,G
